2025-06-09 10:32:02 - Erro no processamento da indicação: Erros de validação: Nome do indicador é obrigatório, Email do indicador inválido, Nome do indicado é obrigatório, Email do indicado inválido, Autorização é obrigatória
2025-06-09 10:32:03 - Erro no processamento da indicação: Erros de validação: Nome do indicador é obrigatório, Email do indicador inválido, Nome do indicado é obrigatório, Email do indicado inválido, Autorização é obrigatória
2025-06-09 10:32:12 - Erro no processamento da indicação: Erros de validação: Nome do indicador é obrigatório, Email do indicador inválido, Nome do indicado é obrigatório, Email do indicado inválido, Autorização é obrigatória
2025-06-09 10:32:12 - Erro no processamento da indicação: Erros de validação: Nome do indicador é obrigatório, Email do indicador inválido, Nome do indicado é obrigatório, Email do indicado inválido, Autorização é obrigatória
2025-06-09 10:36:26 - Erro no processamento da indicação: Erros de validação: Nome do indicador é obrigatório, Email do indicador inválido, Nome do indicado é obrigatório, Email do indicado inválido, Autorização é obrigatória
2025-06-09 10:36:26 - Erro no processamento da indicação: Erros de validação: Nome do indicador é obrigatório, Email do indicador inválido, Nome do indicado é obrigatório, Email do indicado inválido, Autorização é obrigatória
2025-06-09 10:36:29 - Erro no processamento da indicação: Erros de validação: Nome do indicador é obrigatório, Email do indicador inválido, Nome do indicado é obrigatório, Email do indicado inválido, Autorização é obrigatória
2025-06-09 10:36:29 - Erro no processamento da indicação: Erros de validação: Nome do indicador é obrigatório, Email do indicador inválido, Nome do indicado é obrigatório, Email do indicado inválido, Autorização é obrigatória
2025-06-09 10:36:29 - Erro no processamento da indicação: Erros de validação: Nome do indicador é obrigatório, Email do indicador inválido, Nome do indicado é obrigatório, Email do indicado inválido, Autorização é obrigatória
2025-06-09 10:36:30 - Erro no processamento da indicação: Erros de validação: Nome do indicador é obrigatório, Email do indicador inválido, Nome do indicado é obrigatório, Email do indicado inválido, Autorização é obrigatória
2025-06-09 10:36:30 - Erro no processamento da indicação: Erros de validação: Nome do indicador é obrigatório, Email do indicador inválido, Nome do indicado é obrigatório, Email do indicado inválido, Autorização é obrigatória
2025-06-09 10:36:30 - Erro no processamento da indicação: Erros de validação: Nome do indicador é obrigatório, Email do indicador inválido, Nome do indicado é obrigatório, Email do indicado inválido, Autorização é obrigatória
2025-06-09 10:36:30 - Erro no processamento da indicação: Erros de validação: Nome do indicador é obrigatório, Email do indicador inválido, Nome do indicado é obrigatório, Email do indicado inválido, Autorização é obrigatória
2025-06-09 10:36:31 - Erro no processamento da indicação: Erros de validação: Nome do indicador é obrigatório, Email do indicador inválido, Nome do indicado é obrigatório, Email do indicado inválido, Autorização é obrigatória
2025-06-09 10:36:31 - Erro no processamento da indicação: Erros de validação: Nome do indicador é obrigatório, Email do indicador inválido, Nome do indicado é obrigatório, Email do indicado inválido, Autorização é obrigatória
2025-06-09 10:36:31 - Erro no processamento da indicação: Erros de validação: Nome do indicador é obrigatório, Email do indicador inválido, Nome do indicado é obrigatório, Email do indicado inválido, Autorização é obrigatória
2025-06-09 10:36:32 - Erro no processamento da indicação: Erros de validação: Nome do indicador é obrigatório, Email do indicador inválido, Nome do indicado é obrigatório, Email do indicado inválido, Autorização é obrigatória
2025-06-09 10:36:32 - Erro no processamento da indicação: Erros de validação: Nome do indicador é obrigatório, Email do indicador inválido, Nome do indicado é obrigatório, Email do indicado inválido, Autorização é obrigatória
2025-06-09 10:36:32 - Erro no processamento da indicação: Erros de validação: Nome do indicador é obrigatório, Email do indicador inválido, Nome do indicado é obrigatório, Email do indicado inválido, Autorização é obrigatória
2025-06-09 10:36:32 - Erro no processamento da indicação: Erros de validação: Nome do indicador é obrigatório, Email do indicador inválido, Nome do indicado é obrigatório, Email do indicado inválido, Autorização é obrigatória
2025-06-09 10:36:32 - Erro no processamento da indicação: Erros de validação: Nome do indicador é obrigatório, Email do indicador inválido, Nome do indicado é obrigatório, Email do indicado inválido, Autorização é obrigatória
2025-06-09 10:36:32 - Erro no processamento da indicação: Erros de validação: Nome do indicador é obrigatório, Email do indicador inválido, Nome do indicado é obrigatório, Email do indicado inválido, Autorização é obrigatória
2025-06-09 10:36:32 - Erro no processamento da indicação: Erros de validação: Nome do indicador é obrigatório, Email do indicador inválido, Nome do indicado é obrigatório, Email do indicado inválido, Autorização é obrigatória
2025-06-09 10:36:33 - Erro no processamento da indicação: Erros de validação: Nome do indicador é obrigatório, Email do indicador inválido, Nome do indicado é obrigatório, Email do indicado inválido, Autorização é obrigatória
2025-06-09 10:36:33 - Erro no processamento da indicação: Erros de validação: Nome do indicador é obrigatório, Email do indicador inválido, Nome do indicado é obrigatório, Email do indicado inválido, Autorização é obrigatória
2025-06-09 10:36:33 - Erro no processamento da indicação: Erros de validação: Nome do indicador é obrigatório, Email do indicador inválido, Nome do indicado é obrigatório, Email do indicado inválido, Autorização é obrigatória
2025-06-09 10:36:33 - Erro no processamento da indicação: Erros de validação: Nome do indicador é obrigatório, Email do indicador inválido, Nome do indicado é obrigatório, Email do indicado inválido, Autorização é obrigatória
2025-06-09 10:36:33 - Erro no processamento da indicação: Erros de validação: Nome do indicador é obrigatório, Email do indicador inválido, Nome do indicado é obrigatório, Email do indicado inválido, Autorização é obrigatória
2025-06-09 10:36:33 - Erro no processamento da indicação: Erros de validação: Nome do indicador é obrigatório, Email do indicador inválido, Nome do indicado é obrigatório, Email do indicado inválido, Autorização é obrigatória
2025-06-09 10:36:34 - Erro no processamento da indicação: Erros de validação: Nome do indicador é obrigatório, Email do indicador inválido, Nome do indicado é obrigatório, Email do indicado inválido, Autorização é obrigatória
2025-06-09 10:36:34 - Erro no processamento da indicação: Erros de validação: Nome do indicador é obrigatório, Email do indicador inválido, Nome do indicado é obrigatório, Email do indicado inválido, Autorização é obrigatória
2025-06-09 10:36:34 - Erro no processamento da indicação: Erros de validação: Nome do indicador é obrigatório, Email do indicador inválido, Nome do indicado é obrigatório, Email do indicado inválido, Autorização é obrigatória
2025-06-09 10:36:34 - Erro no processamento da indicação: Erros de validação: Nome do indicador é obrigatório, Email do indicador inválido, Nome do indicado é obrigatório, Email do indicado inválido, Autorização é obrigatória
2025-06-09 10:36:34 - Erro no processamento da indicação: Erros de validação: Nome do indicador é obrigatório, Email do indicador inválido, Nome do indicado é obrigatório, Email do indicado inválido, Autorização é obrigatória
2025-06-09 10:36:34 - Erro no processamento da indicação: Erros de validação: Nome do indicador é obrigatório, Email do indicador inválido, Nome do indicado é obrigatório, Email do indicado inválido, Autorização é obrigatória
2025-06-09 10:36:34 - Erro no processamento da indicação: Erros de validação: Nome do indicador é obrigatório, Email do indicador inválido, Nome do indicado é obrigatório, Email do indicado inválido, Autorização é obrigatória
2025-06-09 10:36:34 - Erro no processamento da indicação: Erros de validação: Nome do indicador é obrigatório, Email do indicador inválido, Nome do indicado é obrigatório, Email do indicado inválido, Autorização é obrigatória
2025-06-09 10:36:35 - Erro no processamento da indicação: Erros de validação: Nome do indicador é obrigatório, Email do indicador inválido, Nome do indicado é obrigatório, Email do indicado inválido, Autorização é obrigatória
2025-06-09 10:36:35 - Erro no processamento da indicação: Erros de validação: Nome do indicador é obrigatório, Email do indicador inválido, Nome do indicado é obrigatório, Email do indicado inválido, Autorização é obrigatória
2025-06-09 10:36:35 - Erro no processamento da indicação: Erros de validação: Nome do indicador é obrigatório, Email do indicador inválido, Nome do indicado é obrigatório, Email do indicado inválido, Autorização é obrigatória
2025-06-09 10:36:35 - Erro no processamento da indicação: Erros de validação: Nome do indicador é obrigatório, Email do indicador inválido, Nome do indicado é obrigatório, Email do indicado inválido, Autorização é obrigatória
2025-06-09 10:36:35 - Erro no processamento da indicação: Erros de validação: Nome do indicador é obrigatório, Email do indicador inválido, Nome do indicado é obrigatório, Email do indicado inválido, Autorização é obrigatória
2025-06-09 10:36:35 - Erro no processamento da indicação: Erros de validação: Nome do indicador é obrigatório, Email do indicador inválido, Nome do indicado é obrigatório, Email do indicado inválido, Autorização é obrigatória
2025-06-09 10:36:35 - Erro no processamento da indicação: Erros de validação: Nome do indicador é obrigatório, Email do indicador inválido, Nome do indicado é obrigatório, Email do indicado inválido, Autorização é obrigatória
2025-06-09 10:36:36 - Erro no processamento da indicação: Erros de validação: Nome do indicador é obrigatório, Email do indicador inválido, Nome do indicado é obrigatório, Email do indicado inválido, Autorização é obrigatória
2025-06-09 10:36:36 - Erro no processamento da indicação: Erros de validação: Nome do indicador é obrigatório, Email do indicador inválido, Nome do indicado é obrigatório, Email do indicado inválido, Autorização é obrigatória
2025-06-09 10:36:36 - Erro no processamento da indicação: Erros de validação: Nome do indicador é obrigatório, Email do indicador inválido, Nome do indicado é obrigatório, Email do indicado inválido, Autorização é obrigatória
2025-06-09 10:36:36 - Erro no processamento da indicação: Erros de validação: Nome do indicador é obrigatório, Email do indicador inválido, Nome do indicado é obrigatório, Email do indicado inválido, Autorização é obrigatória
2025-06-09 10:36:36 - Erro no processamento da indicação: Erros de validação: Nome do indicador é obrigatório, Email do indicador inválido, Nome do indicado é obrigatório, Email do indicado inválido, Autorização é obrigatória
2025-06-09 10:36:36 - Erro no processamento da indicação: Erros de validação: Nome do indicador é obrigatório, Email do indicador inválido, Nome do indicado é obrigatório, Email do indicado inválido, Autorização é obrigatória
2025-06-09 10:36:36 - Erro no processamento da indicação: Erros de validação: Nome do indicador é obrigatório, Email do indicador inválido, Nome do indicado é obrigatório, Email do indicado inválido, Autorização é obrigatória
2025-06-09 10:36:37 - Erro no processamento da indicação: Erros de validação: Nome do indicador é obrigatório, Email do indicador inválido, Nome do indicado é obrigatório, Email do indicado inválido, Autorização é obrigatória
2025-06-09 10:36:37 - Erro no processamento da indicação: Erros de validação: Nome do indicador é obrigatório, Email do indicador inválido, Nome do indicado é obrigatório, Email do indicado inválido, Autorização é obrigatória
2025-06-09 10:36:37 - Erro no processamento da indicação: Erros de validação: Nome do indicador é obrigatório, Email do indicador inválido, Nome do indicado é obrigatório, Email do indicado inválido, Autorização é obrigatória
2025-06-09 10:36:37 - Erro no processamento da indicação: Erros de validação: Nome do indicador é obrigatório, Email do indicador inválido, Nome do indicado é obrigatório, Email do indicado inválido, Autorização é obrigatória
2025-06-09 10:36:37 - Erro no processamento da indicação: Erros de validação: Nome do indicador é obrigatório, Email do indicador inválido, Nome do indicado é obrigatório, Email do indicado inválido, Autorização é obrigatória
2025-06-09 10:36:37 - Erro no processamento da indicação: Erros de validação: Nome do indicador é obrigatório, Email do indicador inválido, Nome do indicado é obrigatório, Email do indicado inválido, Autorização é obrigatória
2025-06-09 10:36:37 - Erro no processamento da indicação: Erros de validação: Nome do indicador é obrigatório, Email do indicador inválido, Nome do indicado é obrigatório, Email do indicado inválido, Autorização é obrigatória
2025-06-09 10:36:37 - Erro no processamento da indicação: Erros de validação: Nome do indicador é obrigatório, Email do indicador inválido, Nome do indicado é obrigatório, Email do indicado inválido, Autorização é obrigatória
2025-06-09 10:36:37 - Erro no processamento da indicação: Erros de validação: Nome do indicador é obrigatório, Email do indicador inválido, Nome do indicado é obrigatório, Email do indicado inválido, Autorização é obrigatória
2025-06-09 10:36:38 - Erro no processamento da indicação: Erros de validação: Nome do indicador é obrigatório, Email do indicador inválido, Nome do indicado é obrigatório, Email do indicado inválido, Autorização é obrigatória
2025-06-09 10:36:38 - Erro no processamento da indicação: Erros de validação: Nome do indicador é obrigatório, Email do indicador inválido, Nome do indicado é obrigatório, Email do indicado inválido, Autorização é obrigatória
2025-06-09 10:36:38 - Erro no processamento da indicação: Erros de validação: Nome do indicador é obrigatório, Email do indicador inválido, Nome do indicado é obrigatório, Email do indicado inválido, Autorização é obrigatória
2025-06-09 10:36:38 - Erro no processamento da indicação: Erros de validação: Nome do indicador é obrigatório, Email do indicador inválido, Nome do indicado é obrigatório, Email do indicado inválido, Autorização é obrigatória
2025-06-09 10:36:38 - Erro no processamento da indicação: Erros de validação: Nome do indicador é obrigatório, Email do indicador inválido, Nome do indicado é obrigatório, Email do indicado inválido, Autorização é obrigatória
2025-06-09 10:36:38 - Erro no processamento da indicação: Erros de validação: Nome do indicador é obrigatório, Email do indicador inválido, Nome do indicado é obrigatório, Email do indicado inválido, Autorização é obrigatória
2025-06-09 10:36:38 - Erro no processamento da indicação: Erros de validação: Nome do indicador é obrigatório, Email do indicador inválido, Nome do indicado é obrigatório, Email do indicado inválido, Autorização é obrigatória
2025-06-09 10:36:38 - Erro no processamento da indicação: Erros de validação: Nome do indicador é obrigatório, Email do indicador inválido, Nome do indicado é obrigatório, Email do indicado inválido, Autorização é obrigatória
2025-06-09 10:36:38 - Erro no processamento da indicação: Erros de validação: Nome do indicador é obrigatório, Email do indicador inválido, Nome do indicado é obrigatório, Email do indicado inválido, Autorização é obrigatória
2025-06-09 10:36:38 - Erro no processamento da indicação: Erros de validação: Nome do indicador é obrigatório, Email do indicador inválido, Nome do indicado é obrigatório, Email do indicado inválido, Autorização é obrigatória
2025-06-09 10:36:39 - Erro no processamento da indicação: Erros de validação: Nome do indicador é obrigatório, Email do indicador inválido, Nome do indicado é obrigatório, Email do indicado inválido, Autorização é obrigatória
2025-06-09 10:36:39 - Erro no processamento da indicação: Erros de validação: Nome do indicador é obrigatório, Email do indicador inválido, Nome do indicado é obrigatório, Email do indicado inválido, Autorização é obrigatória
2025-06-09 10:36:39 - Erro no processamento da indicação: Erros de validação: Nome do indicador é obrigatório, Email do indicador inválido, Nome do indicado é obrigatório, Email do indicado inválido, Autorização é obrigatória
2025-06-09 10:36:39 - Erro no processamento da indicação: Erros de validação: Nome do indicador é obrigatório, Email do indicador inválido, Nome do indicado é obrigatório, Email do indicado inválido, Autorização é obrigatória
2025-06-09 10:36:39 - Erro no processamento da indicação: Erros de validação: Nome do indicador é obrigatório, Email do indicador inválido, Nome do indicado é obrigatório, Email do indicado inválido, Autorização é obrigatória
2025-06-09 10:36:39 - Erro no processamento da indicação: Erros de validação: Nome do indicador é obrigatório, Email do indicador inválido, Nome do indicado é obrigatório, Email do indicado inválido, Autorização é obrigatória
2025-06-09 10:36:39 - Erro no processamento da indicação: Erros de validação: Nome do indicador é obrigatório, Email do indicador inválido, Nome do indicado é obrigatório, Email do indicado inválido, Autorização é obrigatória
2025-06-09 10:36:39 - Erro no processamento da indicação: Erros de validação: Nome do indicador é obrigatório, Email do indicador inválido, Nome do indicado é obrigatório, Email do indicado inválido, Autorização é obrigatória
2025-06-09 10:36:39 - Erro no processamento da indicação: Erros de validação: Nome do indicador é obrigatório, Email do indicador inválido, Nome do indicado é obrigatório, Email do indicado inválido, Autorização é obrigatória
2025-06-09 10:36:39 - Erro no processamento da indicação: Erros de validação: Nome do indicador é obrigatório, Email do indicador inválido, Nome do indicado é obrigatório, Email do indicado inválido, Autorização é obrigatória
