2025-04-23 19:19:30 - Erro no processamento da indicação: Erros de validação: Nome do indicador é obrigatório, Email do indicador inválido, Nome do indicado é obrigatório, Email do indicado inválido, Autorização é obrigatória
2025-04-23 19:19:30 - Erro no processamento da indicação: Erros de validação: Nome do indicador é obrigatório, Email do indicador inválido, Nome do indicado é obrigatório, Email do indicado inválido, Autorização é obrigatória
2025-04-23 19:19:41 - Erro no processamento da indicação: Erros de validação: Nome do indicador é obrigatório, Email do indicador inválido, Nome do indicado é obrigatório, Email do indicado inválido, Autorização é obrigatória
2025-04-23 19:19:41 - Erro no processamento da indicação: Erros de validação: Nome do indicador é obrigatório, Email do indicador inválido, Nome do indicado é obrigatório, Email do indicado inválido, Autorização é obrigatória
2025-04-23 19:22:13 - Erro no processamento da indicação: Erros de validação: Nome do indicador é obrigatório, Email do indicador inválido, Nome do indicado é obrigatório, Email do indicado inválido, Autorização é obrigatória
2025-04-23 19:22:17 - Erro no processamento da indicação: Erros de validação: Nome do indicador é obrigatório, Email do indicador inválido, Nome do indicado é obrigatório, Email do indicado inválido, Autorização é obrigatória
2025-04-23 19:22:17 - Erro no processamento da indicação: Erros de validação: Nome do indicador é obrigatório, Email do indicador inválido, Nome do indicado é obrigatório, Email do indicado inválido, Autorização é obrigatória
2025-04-23 19:22:17 - Erro no processamento da indicação: Erros de validação: Nome do indicador é obrigatório, Email do indicador inválido, Nome do indicado é obrigatório, Email do indicado inválido, Autorização é obrigatória
2025-04-23 19:22:17 - Erro no processamento da indicação: Erros de validação: Nome do indicador é obrigatório, Email do indicador inválido, Nome do indicado é obrigatório, Email do indicado inválido, Autorização é obrigatória
2025-04-23 19:22:17 - Erro no processamento da indicação: Erros de validação: Nome do indicador é obrigatório, Email do indicador inválido, Nome do indicado é obrigatório, Email do indicado inválido, Autorização é obrigatória
2025-04-23 19:22:18 - Erro no processamento da indicação: Erros de validação: Nome do indicador é obrigatório, Email do indicador inválido, Nome do indicado é obrigatório, Email do indicado inválido, Autorização é obrigatória
2025-04-23 19:22:18 - Erro no processamento da indicação: Erros de validação: Nome do indicador é obrigatório, Email do indicador inválido, Nome do indicado é obrigatório, Email do indicado inválido, Autorização é obrigatória
2025-04-23 19:22:19 - Erro no processamento da indicação: Erros de validação: Nome do indicador é obrigatório, Email do indicador inválido, Nome do indicado é obrigatório, Email do indicado inválido, Autorização é obrigatória
2025-04-23 19:22:19 - Erro no processamento da indicação: Erros de validação: Nome do indicador é obrigatório, Email do indicador inválido, Nome do indicado é obrigatório, Email do indicado inválido, Autorização é obrigatória
2025-04-23 19:22:19 - Erro no processamento da indicação: Erros de validação: Nome do indicador é obrigatório, Email do indicador inválido, Nome do indicado é obrigatório, Email do indicado inválido, Autorização é obrigatória
2025-04-23 19:22:20 - Erro no processamento da indicação: Erros de validação: Nome do indicador é obrigatório, Email do indicador inválido, Nome do indicado é obrigatório, Email do indicado inválido, Autorização é obrigatória
2025-04-23 19:22:20 - Erro no processamento da indicação: Erros de validação: Nome do indicador é obrigatório, Email do indicador inválido, Nome do indicado é obrigatório, Email do indicado inválido, Autorização é obrigatória
2025-04-23 19:22:20 - Erro no processamento da indicação: Erros de validação: Nome do indicador é obrigatório, Email do indicador inválido, Nome do indicado é obrigatório, Email do indicado inválido, Autorização é obrigatória
2025-04-23 19:22:20 - Erro no processamento da indicação: Erros de validação: Nome do indicador é obrigatório, Email do indicador inválido, Nome do indicado é obrigatório, Email do indicado inválido, Autorização é obrigatória
2025-04-23 19:22:20 - Erro no processamento da indicação: Erros de validação: Nome do indicador é obrigatório, Email do indicador inválido, Nome do indicado é obrigatório, Email do indicado inválido, Autorização é obrigatória
2025-04-23 19:22:20 - Erro no processamento da indicação: Erros de validação: Nome do indicador é obrigatório, Email do indicador inválido, Nome do indicado é obrigatório, Email do indicado inválido, Autorização é obrigatória
2025-04-23 19:22:21 - Erro no processamento da indicação: Erros de validação: Nome do indicador é obrigatório, Email do indicador inválido, Nome do indicado é obrigatório, Email do indicado inválido, Autorização é obrigatória
2025-04-23 19:22:21 - Erro no processamento da indicação: Erros de validação: Nome do indicador é obrigatório, Email do indicador inválido, Nome do indicado é obrigatório, Email do indicado inválido, Autorização é obrigatória
2025-04-23 19:22:21 - Erro no processamento da indicação: Erros de validação: Nome do indicador é obrigatório, Email do indicador inválido, Nome do indicado é obrigatório, Email do indicado inválido, Autorização é obrigatória
2025-04-23 19:22:21 - Erro no processamento da indicação: Erros de validação: Nome do indicador é obrigatório, Email do indicador inválido, Nome do indicado é obrigatório, Email do indicado inválido, Autorização é obrigatória
2025-04-23 19:22:21 - Erro no processamento da indicação: Erros de validação: Nome do indicador é obrigatório, Email do indicador inválido, Nome do indicado é obrigatório, Email do indicado inválido, Autorização é obrigatória
2025-04-23 19:22:21 - Erro no processamento da indicação: Erros de validação: Nome do indicador é obrigatório, Email do indicador inválido, Nome do indicado é obrigatório, Email do indicado inválido, Autorização é obrigatória
2025-04-23 19:22:22 - Erro no processamento da indicação: Erros de validação: Nome do indicador é obrigatório, Email do indicador inválido, Nome do indicado é obrigatório, Email do indicado inválido, Autorização é obrigatória
2025-04-23 19:22:22 - Erro no processamento da indicação: Erros de validação: Nome do indicador é obrigatório, Email do indicador inválido, Nome do indicado é obrigatório, Email do indicado inválido, Autorização é obrigatória
